Train,Type,From,To,StartTime,EndTime
Train_8,Light Travel,Station16,Station16,56160,56160
Train_7,Train Trip,Station11,Station12,57000,57900
Train_7,Light Travel,Station12,Station12,57900,57900
Train_5,Train Trip,Station1,Station6,58500,59460
Train_7,Train Trip,Station12,Station12,58800,62160
Train_5,Light Travel,Station6,Station6,59460,59460
Train_11,Light Travel,Station23,Station23,60180,60180
Train_4,Train Trip,Station10,Station6,60420,61140
Train_4,Light Travel,Station6,Station6,61140,61140
Train_10,Train Trip,Station22,Station21,61560,63840
Train_7,Light Travel,Station12,Station12,62160,62160
Train_8,Train Trip,Station16,Station15,62340,63240
Train_7,Train Trip,Station12,Station11,62580,63480
Train_4,Train Trip,Station6,Station1,62700,63540
Train_8,Light Travel,Station15,Station15,63240,63240
Train_7,Light Travel,Station11,Station11,63480,63480
Train_4,Light Travel,Station1,Station1,63540,63540
Train_10,Light Travel,Station21,Station21,63840,63840
Train_4,Train Trip,Station1,Station6,71100,72060
Train_4,Light Travel,Station6,Station6,72060,72060
Train_2,Train Trip,Station2,Station3,86460,90000
Train_6,Train Trip,Station4,Station5,86880,90660
Train_4,Train Trip,Station6,Station7,89880,93300
Train_5,Train Trip,Station6,Station1,90000,90840
Train_2,Light Travel,Station3,Station3,90000,90000
Train_6,Light Travel,Station5,Station5,90660,90660
Train_5,Light Travel,Station1,Station1,90840,90840
Train_4,Light Travel,Station7,Station7,93300,93300
Train_2,Train Trip,Station3,Station2,93600,97080
Train_5,Train Trip,Station1,Station6,94800,95760
Train_6,Train Trip,Station5,Station4,94800,97260
Train_5,Light Travel,Station6,Station6,95760,95760
Train_2,Light Travel,Station2,Station2,97080,97080
Train_6,Light Travel,Station4,Station13,97260,98760
Train_4,Train Trip,Station7,Station6,99900,102120
Train_4,Light Travel,Station6,Station6,102120,102120
Train_5,Train Trip,Station6,Station1,109380,110220
Train_4,Train Trip,Station6,Station10,109620,110220
Train_7,Train Trip,Station11,Station12,109740,110640
Train_6,Train Trip,Station13,Station14,110100,113400
Train_5,Light Travel,Station1,Station1,110220,110220
Train_4,Light Travel,Station10,Station10,110220,110220
Train_7,Light Travel,Station12,Station12,110640,110640
Train_7,Train Trip,Station12,Station12,112200,116460
Train_8,Train Trip,Station15,Station16,112920,113820
Train_9,Train Trip,Station17,Station18,113040,116220
Train_6,Light Travel,Station14,Station14,113400,113400
Train_8,Light Travel,Station16,Station16,113820,113820
Train_4,Train Trip,Station10,Station10,115380,117300
Train_8,Train Trip,Station16,Station19,115560,116940
Train_2,Train Trip,Station2,Station20,115800,119820
Train_9,Light Travel,Station18,Station18,116220,116220
Train_7,Light Travel,Station12,Station12,116460,116460
Train_10,Train Trip,Station21,Station22,116760,118980
Train_8,Light Travel,Station19,Station15,116940,118440
Train_11,Train Trip,Station23,Station24,117120,118980
Train_4,Light Travel,Station10,Station31,117300,118140
Train_7,Train Trip,Station12,Station11,117420,118320
Train_7,Light Travel,Station11,Station11,118320,118320
Train_9,Train Trip,Station18,Station17,118980,120840
Train_10,Light Travel,Station22,Station22,118980,118980
Train_11,Light Travel,Station24,Station24,118980,118980
Train_6,Train Trip,Station14,Station14,119580,121320
Train_2,Light Travel,Station20,Station20,119820,119820
Train_8,Train Trip,Station15,Station25,120420,121320
Train_5,Train Trip,Station1,Station6,120720,121680
Train_9,Light Travel,Station17,Station17,120840,120840
Train_7,Train Trip,Station11,Station26,121200,124380
Train_6,Light Travel,Station14,Station14,121320,121320
Train_8,Light Travel,Station25,Station25,121320,121320
Train_5,Light Travel,Station6,Station6,121680,121680
Train_9,Train Trip,Station17,Station27,121980,122640
Train_9,Light Travel,Station27,Station27,122640,122640
Train_3,Train Trip,Station29,Station38,122700,125400
Train_6,Train Trip,Station14,Station14,123180,124920
Train_11,Train Trip,Station24,Station23,123180,128040
Train_10,Train Trip,Station22,Station21,123300,125580
Train_2,Train Trip,Station20,Station2,123600,128340
Train_5,Train Trip,Station6,Station28,123720,124440
Train_8,Train Trip,Station25,Station15,124260,124860
Train_7,Light Travel,Station26,Station26,124380,124380
Train_5,Light Travel,Station28,Station6,124440,124740
Train_8,Light Travel,Station15,Station19,124860,126360
Train_4,Train Trip,Station31,Station32,124920,126780
Train_6,Light Travel,Station14,Station14,124920,124920
Train_3,Light Travel,Station38,Station38,125400,125400
Train_10,Light Travel,Station21,Station21,125580,125580
