Train,Type,From,To,StartTime,EndTime
Train_3,Light Travel,Station18,Station25,228900,229320
Train_4,Train Trip,Station7,Station23,234720,238680
Train_10,Train Trip,Station26,Station27,235140,246240
Train_1,Train Trip,Station1,Station22,235320,240060
Train_11,Train Trip,Station22,Station23,237120,240420
Train_2,Light Travel,Station12,Station12,237120,237120
Train_7,Light Travel,Station12,Station12,237120,237120
Train_4,Light Travel,Station23,Station23,238680,238680
Train_1,Light Travel,Station22,Station22,240060,240060
Train_11,Light Travel,Station23,Station23,240420,240420
Train_1,Train Trip,Station22,Station21,240840,252360
Train_9,Light Travel,Station22,Station22,240960,240960
Train_6,Train Trip,Station5,Station4,241020,247920
Train_4,Train Trip,Station23,Station1,241980,246600
Train_3,Train Trip,Station25,Station18,244200,249840
Train_5,Train Trip,Station8,Station18,245100,251760
Train_10,Light Travel,Station27,Station9,246240,253680
Train_4,Light Travel,Station1,Station1,246600,246600
Train_12,Train Trip,Station20,Station1,246840,299640
Train_6,Light Travel,Station4,Station4,247920,247920
Train_3,Light Travel,Station18,Station2,249840,249900
Train_5,Light Travel,Station18,Station2,251760,251820
Train_1,Light Travel,Station21,Station28,252360,258300
Train_8,Light Travel,Station30,Station32,252420,272820
Train_1,Train Trip,Station28,Station29,261120,270660
Train_6,Train Trip,Station4,Station5,268140,273300
Train_1,Light Travel,Station29,Station22,270660,278340
Train_5,Train Trip,Station2,Station8,271440,278520
Train_6,Light Travel,Station5,Station4,273300,274140
Train_4,Train Trip,Station1,Station24,274500,287280
Train_10,Train Trip,Station9,Station10,277200,283740
Train_5,Light Travel,Station8,Station8,278520,278520
Train_10,Light Travel,Station10,Station9,283740,286920
Train_4,Light Travel,Station24,Station1,287280,293220
Train_1,Train Trip,Station22,Station21,289980,306480
Train_7,Train Trip,Station12,Station11,290220,311700
Train_2,Train Trip,Station12,Station11,290220,311700
Train_9,Train Trip,Station22,Station1,290880,295800
Train_9,Light Travel,Station1,Station31,295800,297180
Train_12,Light Travel,Station1,Station1,299640,299640
Train_4,Train Trip,Station1,Station20,301980,363600
Train_1,Light Travel,Station21,Station21,306480,306480
Train_1,Train Trip,Station21,Station22,311280,327360
Train_7,Light Travel,Station11,Station11,311700,311700
Train_2,Light Travel,Station11,Station11,311700,311700
Train_9,Train Trip,Station31,Station22,313260,315720
Train_9,Light Travel,Station22,Station23,315720,317580
Train_2,Train Trip,Station11,Station12,317280,334200
Train_7,Train Trip,Station11,Station12,317280,334200
Train_12,Train Trip,Station1,Station22,321720,326460
Train_9,Train Trip,Station23,Station12,321840,339600
Train_11,Train Trip,Station23,Station12,323340,339000
Train_12,Light Travel,Station22,Station22,326460,326460
Train_12,Train Trip,Station22,Station21,327240,338760
Train_1,Light Travel,Station22,Station26,327360,334560
Train_2,Light Travel,Station12,Station11,334200,342300
Train_7,Light Travel,Station12,Station1,334200,341880
Train_12,Light Travel,Station21,Station21,338760,338760
Train_11,Light Travel,Station12,Station1,339000,346680
Train_9,Light Travel,Station12,Station11,339600,347700
Train_3,Train Trip,Station2,Station3,350160,357480
Train_3,Light Travel,Station3,Station2,357480,359820
Train_10,Train Trip,Station9,Station10,363600,370140
Train_4,Light Travel,Station20,Station20,363600,363600
Train_10,Light Travel,Station10,Station9,370140,373320
Train_9,Train Trip,Station11,Station12,387780,409920
Train_2,Train Trip,Station11,Station12,387780,409920
Train_11,Train Trip,Station1,Station20,388380,450000
Train_8,Train Trip,Station32,Station1,394800,410460
Train_12,Train Trip,Station21,Station22,397680,413760
Train_7,Train Trip,Station1,Station22,408120,412860
Train_9,Light Travel,Station12,Station23,409920,416640
Train_2,Light Travel,Station12,Station7,409920,417120
Train_8,Light Travel,Station1,Station1,410460,410460
Train_7,Light Travel,Station22,Station22,412860,412860
Train_7,Train Trip,Station22,Station21,413640,425160
Train_12,Light Travel,Station22,Station22,413760,413760
Train_7,Light Travel,Station21,Station21,425160,425160
Train_3,Train Trip,Station2,Station3,436560,443880
Train_6,Train Trip,Station4,Station5,440940,446100
Train_3,Light Travel,Station3,Station15,443880,445620
Train_6,Light Travel,Station5,Station17,446100,450600
Train_10,Train Trip,Station9,Station10,450000,456540
