Train,Type,From,To,StartTime,EndTime
Train_16,Light Travel,Station22,Station22,26520,26520
Train_15,Light Travel,Station17,Station17,26520,26520
Train_7,Light Travel,Station3,Station3,26640,26640
Train_29,Train Trip,Station18,Station3,26820,35280
Train_2,Light Travel,Station18,Station18,27120,27120
Train_7,Train Trip,Station3,Station9,27180,31140
Train_13,Train Trip,Station3,Station26,27300,33360
Train_15,Train Trip,Station17,Station21,27360,32040
Train_11,Light Travel,Station9,Station27,27540,27660
Train_3,Train Trip,Station3,Station9,27900,31920
Train_20,Light Travel,Station3,Station3,28080,28080
Train_6,Light Travel,Station9,Station9,28140,28140
Train_23,Light Travel,Station3,Station3,28260,28260
Train_25,Light Travel,Station9,Station9,28320,28320
Train_10,Light Travel,Station17,Station17,28320,28320
Train_17,Light Travel,Station21,Station21,28440,28440
Train_4,Train Trip,Station1,Station17,28620,31920
Train_9,Light Travel,Station1,Station1,28920,28920
Train_10,Train Trip,Station17,Station1,29160,32520
Train_17,Train Trip,Station21,Station17,29160,33720
Train_20,Train Trip,Station3,Station24,29280,37500
Train_16,Train Trip,Station22,Station17,29340,35040
Train_11,Train Trip,Station27,Station19,29460,29640
Train_23,Train Trip,Station3,Station18,29460,37740
Train_11,Light Travel,Station19,Station27,29640,29880
Train_22,Light Travel,Station3,Station3,30060,30060
Train_1,Light Travel,Station17,Station17,30120,30120
Train_24,Light Travel,Station3,Station3,30240,30240
Train_18,Train Trip,Station24,Station25,30300,30960
Train_14,Light Travel,Station24,Station24,30300,30300
Train_2,Train Trip,Station18,Station3,30420,38880
Train_27,Light Travel,Station18,Station18,30720,30720
Train_24,Train Trip,Station3,Station9,30900,34740
Train_1,Train Trip,Station17,Station21,30960,35640
Train_18,Light Travel,Station25,Station25,30960,30960
Train_22,Train Trip,Station3,Station9,31080,35340
Train_7,Light Travel,Station9,Station9,31140,31140
Train_11,Train Trip,Station27,Station19,31260,31440
Train_21,Light Travel,Station17,Station28,31440,31560
Train_11,Light Travel,Station19,Station19,31440,31440
Train_8,Train Trip,Station9,Station19,31680,32040
Train_26,Light Travel,Station3,Station3,31680,31680
Train_28,Light Travel,Station3,Station3,31860,31860
Train_3,Light Travel,Station9,Station9,31920,31920
Train_4,Light Travel,Station17,Station17,31920,31920
Train_21,Train Trip,Station28,Station29,31980,34140
Train_15,Light Travel,Station21,Station21,32040,32040
Train_8,Light Travel,Station19,Station19,32040,32040
Train_18,Train Trip,Station25,Station24,32220,32760
Train_9,Train Trip,Station1,Station17,32220,35520
Train_10,Light Travel,Station1,Station1,32520,32520
Train_4,Train Trip,Station17,Station1,32760,36120
Train_15,Train Trip,Station21,Station17,32760,37320
Train_14,Train Trip,Station24,Station17,32760,38640
Train_18,Light Travel,Station24,Station24,32760,32760
Train_28,Train Trip,Station3,Station22,32880,40920
Train_6,Train Trip,Station9,Station3,32940,37260
Train_26,Train Trip,Station3,Station18,33060,41340
Train_13,Light Travel,Station26,Station26,33360,33360
Train_5,Light Travel,Station3,Station3,33660,33660
Train_19,Light Travel,Station22,Station22,33720,33720
Train_17,Light Travel,Station17,Station17,33720,33720
Train_27,Train Trip,Station18,Station3,34020,42480
Train_21,Light Travel,Station29,Station17,34140,36180
Train_12,Light Travel,Station18,Station18,34320,34320
Train_17,Train Trip,Station17,Station21,34560,39240
Train_5,Train Trip,Station3,Station9,34680,38940
Train_24,Light Travel,Station9,Station9,34740,34740
Train_13,Train Trip,Station26,Station30,34920,38100
Train_16,Light Travel,Station17,Station17,35040,35040
Train_29,Light Travel,Station3,Station3,35280,35280
Train_22,Light Travel,Station9,Station9,35340,35340
Train_16,Train Trip,Station17,Station31,35400,35580
Train_9,Light Travel,Station17,Station17,35520,35520
Train_16,Light Travel,Station31,Station31,35580,35580
Train_1,Light Travel,Station21,Station21,35640,35640
Train_10,Train Trip,Station1,Station17,35820,39120
Train_4,Light Travel,Station1,Station1,36120,36120
Train_9,Train Trip,Station17,Station1,36360,39720
Train_1,Train Trip,Station21,Station17,36360,40920
Train_22,Train Trip,Station9,Station3,36540,40860
Train_19,Train Trip,Station22,Station17,36540,42240
Train_29,Train Trip,Station3,Station18,36660,44940
Train_6,Light Travel,Station3,Station3,37260,37260
Train_15,Light Travel,Station17,Station17,37320,37320
Train_18,Train Trip,Station24,Station25,37500,38160
Train_20,Light Travel,Station24,Station24,37500,37500
Train_12,Train Trip,Station18,Station3,37620,46080
Train_23,Light Travel,Station18,Station18,37740,37740
Train_16,Train Trip,Station31,Station17,38100,38340
Train_13,Light Travel,Station30,Station30,38100,38100
Train_21,Train Trip,Station17,Station21,38160,42840
Train_18,Light Travel,Station25,Station25,38160,38160
Train_6,Train Trip,Station3,Station9,38280,42540
Train_16,Light Travel,Station17,Station17,38340,38340
Train_15,Train Trip,Station17,Station24,38640,44700
Train_14,Light Travel,Station17,Station17,38640,38640
Train_2,Light Travel,Station3,Station3,38880,38880
Train_5,Light Travel,Station9,Station9,38940,38940
Train_10,Light Travel,Station17,Station17,39120,39120
Train_13,Train Trip,Station30,Station26,39240,42360
Train_17,Light Travel,Station21,Station21,39240,39240
Train_18,Train Trip,Station25,Station24,39420,39960
Train_4,Train Trip,Station1,Station17,39420,42720
Train_9,Light Travel,Station1,Station1,39720,39720
Train_16,Train Trip,Station17,Station1,39960,43320
Train_17,Train Trip,Station21,Station17,39960,44520
Train_20,Train Trip,Station24,Station17,39960,45840
Train_18,Light Travel,Station24,Station24,39960,39960
Train_5,Train Trip,Station9,Station3,40140,44460
Train_2,Train Trip,Station3,Station18,40260,48540
Train_22,Light Travel,Station3,Station3,40860,40860
Train_28,Light Travel,Station22,Station22,40920,40920
Train_1,Light Travel,Station17,Station17,40920,40920
Train_23,Train Trip,Station18,Station3,41220,49680
Train_26,Light Travel,Station18,Station18,41340,41340
Train_1,Train Trip,Station17,Station21,41760,46440
Train_22,Train Trip,Station3,Station9,41880,46140
Train_10,Train Trip,Station17,Station22,42240,48120
Train_19,Light Travel,Station17,Station17,42240,42240
Train_13,Light Travel,Station26,Station26,42360,42360
Train_27,Light Travel,Station3,Station3,42480,42480
Train_6,Light Travel,Station9,Station9,42540,42540
Train_4,Light Travel,Station17,Station17,42720,42720
Train_21,Light Travel,Station21,Station21,42840,42840
Train_9,Train Trip,Station1,Station17,43020,46320
Train_16,Light Travel,Station1,Station1,43320,43320
Train_4,Train Trip,Station17,Station1,43560,46920
Train_21,Train Trip,Station21,Station17,43560,48120
Train_3,Train Trip,Station9,Station3,43740,48060
Train_28,Train Trip,Station22,Station17,43740,49440
Train_27,Train Trip,Station3,Station18,43860,52140
Train_13,Train Trip,Station26,Station30,43920,47100
Train_5,Light Travel,Station3,Station3,44460,44460
Train_17,Light Travel,Station17,Station17,44520,44520
Train_18,Train Trip,Station24,Station25,44700,45360
Train_15,Light Travel,Station24,Station24,44700,44700
Train_26,Train Trip,Station18,Station3,44820,53280
